MATCHUP,GAME_ID,SEASON,GAME_DATE,HOME_TEAM_NICKNAME,HOME_TEAM_ID,AWAY_TEAM_NICKNAME,AWAY_TEAM_ID
12/09/2017 76ers at Cavaliers,21700379,2017-18,2017-12-09, Cavaliers,1610612739, 76ers,1610612755
12/08/2017 Cavaliers at Pacers,21700369,2017-18,2017-12-08, Pacers,1610612754, Cavaliers,1610612739
12/06/2017 Kings at Cavaliers,21700353,2017-18,2017-12-06, Cavaliers,1610612739, Kings,1610612758
12/04/2017 Cavaliers at Bulls,21700344,2017-18,2017-12-04, Bulls,1610612741, Cavaliers,1610612739
12/02/2017 Grizzlies at Cavaliers,21700329,2017-18,2017-12-02, Cavaliers,1610612739, Grizzlies,1610612763
11/28/2017 Heat at Cavaliers,21700298,2017-18,2017-11-28, Cavaliers,1610612739, Heat,1610612748
11/27/2017 Cavaliers at 76ers,21700291,2017-18,2017-11-27, 76ers,1610612755, Cavaliers,1610612739
11/24/2017 Hornets at Cavaliers,21700270,2017-18,2017-11-24, Cavaliers,1610612739, Hornets,1610612766
11/22/2017 Nets at Cavaliers,21700254,2017-18,2017-11-22, Cavaliers,1610612739, Nets,1610612751
11/20/2017 Cavaliers at Pistons,21700242,2017-18,2017-11-20, Pistons,1610612765, Cavaliers,1610612739
11/17/2017 Clippers at Cavaliers,21700220,2017-18,2017-11-17, Cavaliers,1610612739, Clippers,1610612746
11/15/2017 Cavaliers at Hornets,21700207,2017-18,2017-11-15, Hornets,1610612766, Cavaliers,1610612739
11/13/2017 Cavaliers at Knicks,21700193,2017-18,2017-11-13, Knicks,1610612752, Cavaliers,1610612739
11/11/2017 Cavaliers at Mavericks,21700181,2017-18,2017-11-11, Mavericks,1610612742, Cavaliers,1610612739
11/09/2017 Cavaliers at Rockets,21700166,2017-18,2017-11-09, Rockets,1610612745, Cavaliers,1610612739
11/07/2017 Bucks at Cavaliers,21700149,2017-18,2017-11-07, Cavaliers,1610612739, Bucks,1610612749
11/03/2017 Cavaliers at Wizards,21700122,2017-18,2017-11-03, Wizards,1610612764, Cavaliers,1610612739
11/01/2017 Pacers at Cavaliers,21700106,2017-18,2017-11-01, Cavaliers,1610612739, Pacers,1610612754
10/29/2017 Knicks at Cavaliers,21700090,2017-18,2017-10-29, Cavaliers,1610612739, Knicks,1610612752
10/28/2017 Cavaliers at Pelicans,21700077,2017-18,2017-10-28, Pelicans,1610612740, Cavaliers,1610612739
10/25/2017 Cavaliers at Nets,21700058,2017-18,2017-10-25, Nets,1610612751, Cavaliers,1610612739
10/24/2017 Bulls at Cavaliers,21700049,2017-18,2017-10-24, Cavaliers,1610612739, Bulls,1610612741
10/21/2017 Magic at Cavaliers,21700028,2017-18,2017-10-21, Cavaliers,1610612739, Magic,1610612753
10/20/2017 Cavaliers at Bucks,21700021,2017-18,2017-10-20, Bucks,1610612749, Cavaliers,1610612739
04/11/2018 Spurs at Pelicans,21701226,2017-18,2018-04-11, Pelicans,1610612740, Spurs,1610612759
04/09/2018 Pelicans at Clippers,21701212,2017-18,2018-04-09, Clippers,1610612746, Pelicans,1610612740
04/07/2018 Pelicans at Warriors,21701195,2017-18,2018-04-07, Warriors,1610612744, Pelicans,1610612740
04/06/2018 Pelicans at Suns,21701189,2017-18,2018-04-06, Suns,1610612756, Pelicans,1610612740
04/04/2018 Grizzlies at Pelicans,21701173,2017-18,2018-04-04, Pelicans,1610612740, Grizzlies,1610612763
04/01/2018 Thunder at Pelicans,21701150,2017-18,2018-04-01, Pelicans,1610612740, Thunder,1610612760
03/27/2018 Trail Blazers at Pelicans,21701112,2017-18,2018-03-27, Pelicans,1610612740, Trail Blazers,1610612757
03/24/2018 Pelicans at Rockets,21701091,2017-18,2018-03-24, Rockets,1610612745, Pelicans,1610612740
03/22/2018 Lakers at Pelicans,21701075,2017-18,2018-03-22, Pelicans,1610612740, Lakers,1610612747
03/21/2018 Pacers at Pelicans,21700809,2017-18,2018-03-21, Pelicans,1610612740, Pacers,1610612754
